Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Boston,9,85.6,45,65.4,39,86.5,0.47,,23,31.1,9.7,15.1,62.62
Detroit,3,63.6,20.6,40.5,12,,2.79,,31.8,52.8,8.6,34.1,72.02
Detroit,4,70,25.8,44.9,18,,1.76,,29.6,49.4,8.8,31.7,64.55
Detroit,5,88.8,30.1,57.3,21,90.6,3.34,,23.4,43.6,9,27.1,65.69
Detroit,6,91.5,47.6,71.4,44.7,98,3.9,,28.8,47.2,9.3,13.5,60.45
Detroit,7,93.5,62.8,77.4,,98.9,4.93,,16.7,37.8,9.2,14.8,67.06
Detroit,8,92.3,57.4,73.2,,97.3,6.74,,19.9,34.4,9.2,16.7,68.78
Detroit,9,83.7,39.1,63.7,36.5,86.5,2.55,,23.7,40.3,8.9,19.9,71.62
LA,3,80.1,47,60.6,46,78.5,4.23,,16.1,25.3,9.2,38,60.69
LA,4,92.9,51.2,65.5,,91.3,3.02,,10.3,17.2,7.8,38.2,61.66
LA,5,93.8,57.8,69.4,,90.5,0.14,,12.8,23,8.2,22,60.92
LA,6,98.1,61.1,70.1,,92.8,0,,10.3,21.9,9.6,38.5,60.68
LA,7,90,60.2,70.6,,90.9,0.01,,9.2,,8.9,21.9,66.66
LA,8,98.1,60.2,74.7,,100,0,,9.2,,8.5,13,64.53
LA,9,109.1,62.1,74.1,,109.8,0,,8.1,,6.2,13.2,61.34
Miami,3,85.2,56.7,75.7,,87.9,0.11,,25.3,30.8,9.9,14,64.85
Miami,4,91.5,68.7,80.1,,97.4,2.52,,24.2,31.5,9.8,13.8,69.86
Miami,5,87.7,66.5,78.9,,93.6,14.6,,23.7,33.8,9.4,13.9,72.73
Miami,6,90.2,74.7,83.4,,100.3,5.63,,15.7,24.2,9.8,12.7,75.05
Miami,7,96.2,74.9,84.6,,105.5,10.16,,21.8,33.3,9.7,16.9,72.3
Miami,8,92,75.2,85.2,,104.9,7.38,,24.9,35.8,9.7,15.9,73.98
Miami,9,91.1,75.1,83.6,,104.9,5.59,,25.3,39.1,9.6,21.2,75.81
