Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Boston,Mar,72.5,21.1,42.8,17.2,,3.59,,24.2,47.5,9.1,10.4,57.33
Boston,Apr,62.1,33.3,45.9,33.6,,4.35,,21.9,58.7,9,10.8,59.53
Boston,May,83.8,37.4,58,34.5,84.2,2.22,,12.8,43.8,9.5,9,57.51
Boston,Jun,90,50.3,69.5,,90.5,2.77,,16.1,33.3,9.5,9.2,64.9
Boston,Jul,95.2,60.2,75.5,,101.7,2.06,,23,47.2,9.5,20.4,70.02
Boston,Aug,92.5,59.1,74.4,,96.8,2.27,,23,46,9.9,14.3,64.02
Boston,Sep,85.6,45,65.4,39,86.5,0.47,,23,31.1,9.7,15.1,62.62
Detroit,Jan,54.6,14.8,32.4,3.8,,3.4,,23.6,40.3,8.2,39.8,77.03
Detroit,Feb,52.5,4.4,29.9,-7.5,,0.44,,28.4,42.5,8.2,32,71.24
Detroit,Mar,63.6,20.6,40.5,12,,2.79,,31.8,52.8,8.6,34.1,72.02
Detroit,Apr,70,25.8,44.9,18,,1.76,,29.6,49.4,8.8,31.7,64.55
Detroit,May,88.8,30.1,57.3,21,90.6,3.34,,23.4,43.6,9,27.1,65.69
Detroit,Jun,91.5,47.6,71.4,44.7,98,3.9,,28.8,47.2,9.3,13.5,60.45
Detroit,Jul,93.5,62.8,77.4,,98.9,4.93,,16.7,37.8,9.2,14.8,67.06
Detroit,Aug,92.3,57.4,73.2,,97.3,6.74,,19.9,34.4,9.2,16.7,68.78
Detroit,Sep,83.7,39.1,63.7,36.5,86.5,2.55,,23.7,40.3,8.9,19.9,71.62
LA,Jan,83,46.1,59.9,49.4,80.5,0.31,,9.2,36.7,8.7,14.8,56.43
LA,Feb,88.1,42.2,61.8,48.4,84.4,0.04,,11.4,21.9,9,13.4,50.12
LA,Mar,80.1,47,60.6,46,78.5,4.23,,16.1,25.3,9.2,38,60.69
LA,Apr,92.9,51.2,65.5,,91.3,3.02,,10.3,17.2,7.8,38.2,61.66
LA,May,93.8,57.8,69.4,,90.5,0.14,,12.8,23,8.2,22,60.92
LA,Jun,98.1,61.1,70.1,,92.8,0,,10.3,21.9,9.6,38.5,60.68
LA,Jul,90,60.2,70.6,,90.9,0.01,,9.2,,8.9,21.9,66.66
LA,Aug,98.1,60.2,74.7,,100,0,,9.2,,8.5,13,64.53
LA,Sep,109.1,62.1,74.1,,109.8,0,,8.1,,6.2,13.2,61.34
LA,Dec,57.8,57.8,57.8,,,0,,3.4,,9.9,0,38.63
Miami,Jan,87.2,41.9,71.4,34.8,89.5,1.89,,26.9,34.2,9.7,14.4,64.11
Miami,Feb,83,52.5,72.5,,86.7,3.04,,20.8,32.2,9.7,14.3,67.36
Miami,Mar,85.2,56.7,75.7,,87.9,0.11,,25.3,30.8,9.9,14,64.85
Miami,Apr,91.5,68.7,80.1,,97.4,2.52,,24.2,31.5,9.8,13.8,69.86
Miami,May,87.7,66.5,78.9,,93.6,14.6,,23.7,33.8,9.4,13.9,72.73
Miami,Jun,90.2,74.7,83.4,,100.3,5.63,,15.7,24.2,9.8,12.7,75.05
Miami,Jul,96.2,74.9,84.6,,105.5,10.16,,21.8,33.3,9.7,16.9,72.3
Miami,Aug,92,75.2,85.2,,104.9,7.38,,24.9,35.8,9.7,15.9,73.98
Miami,Sep,91.1,75.1,83.6,,104.9,5.59,,25.3,39.1,9.6,21.2,75.81
